[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 0.00%, 4.043MiB / 3.871GiB, 0.10%, 29.1kB / 13.7kB, 0B / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.16%, 4.973MiB / 125MiB, 3.98%, 19.2kB / 10.3kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 108.17%, 9.824MiB / 3.871GiB, 0.25%, 2.82MB / 3.97MB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 18.48%, 9.176MiB / 3.871GiB, 0.23%, 3.99MB / 2.88MB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 2MiB / 50MiB, 4.00%, 8.05kB / 8.54kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.10%, 9.969MiB / 50MiB, 19.94%, 4.1kB / 1.48kB, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.01%, 20.35MiB / 500MiB, 4.07%, 57kB / 11.4kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.16%, 4.973MiB / 125MiB, 3.98%, 19.2kB / 10.3kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 108.17%, 9.824MiB / 3.871GiB, 0.25%, 2.82MB / 3.97MB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 14.03%, 9.18MiB / 3.871GiB, 0.23%, 4.06MB / 2.94MB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 2MiB / 50MiB, 4.00%, 8.05kB / 8.54kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.12%, 9.969MiB / 50MiB, 19.94%, 4.1kB / 1.48kB, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.00%, 20.35MiB / 500MiB, 4.07%, 57kB / 11.4kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.09%, 4.973MiB / 125MiB, 3.98%, 19.2kB / 10.3kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 96.75%, 9.855MiB / 3.871GiB, 0.25%, 2.88MB / 4.04MB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 14.03%, 9.18MiB / 3.871GiB, 0.23%, 4.06MB / 2.94MB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 2MiB / 50MiB, 4.00%, 8.05kB / 8.54kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.12%, 9.969MiB / 50MiB, 19.94%, 4.1kB / 1.48kB, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.00%, 20.35MiB / 500MiB, 4.07%, 57kB / 11.4kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.09%, 4.973MiB / 125MiB, 3.98%, 19.2kB / 10.3kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 96.75%, 9.855MiB / 3.871GiB, 0.25%, 2.88MB / 4.04MB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 16.83%, 9.18MiB / 3.871GiB, 0.23%, 4.15MB / 3MB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 2MiB / 50MiB, 4.00%, 8.05kB / 8.54kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.08%, 9.969MiB / 50MiB, 19.94%, 4.17kB / 1.48kB, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 1.28%, 20.36MiB / 500MiB, 4.07%, 57kB / 11.4kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.15%, 4.98MiB / 125MiB, 3.98%, 19.4kB / 10.4kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 104.09%, 9.984MiB / 3.871GiB, 0.25%, 2.94MB / 4.13MB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 16.83%, 9.18MiB / 3.871GiB, 0.23%, 4.15MB / 3MB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 2MiB / 50MiB, 4.00%, 8.05kB / 8.54kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.08%, 9.969MiB / 50MiB, 19.94%, 4.17kB / 1.48kB, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 1.28%, 20.36MiB / 500MiB, 4.07%, 57kB / 11.4kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.15%, 4.98MiB / 125MiB, 3.98%, 19.4kB / 10.4kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 104.09%, 9.984MiB / 3.871GiB, 0.25%, 2.94MB / 4.13MB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 16.83%, 9.18MiB / 3.871GiB, 0.23%, 4.15MB / 3MB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 2MiB / 50MiB, 4.00%, 8.05kB / 8.54kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.08%, 9.969MiB / 50MiB, 19.94%, 4.17kB / 1.48kB, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 1.28%, 20.36MiB / 500MiB, 4.07%, 57kB / 11.4kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.15%, 4.98MiB / 125MiB, 3.98%, 19.4kB / 10.4kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 104.09%, 9.984MiB / 3.871GiB, 0.25%, 2.94MB / 4.13MB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 16.43%, 9.184MiB / 3.871GiB, 0.23%, 4.22MB / 3.05MB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 2MiB / 50MiB, 4.00%, 8.05kB / 8.54kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.09%, 9.969MiB / 50MiB, 19.94%, 4.17kB / 1.48kB, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.37%, 20.36MiB / 500MiB, 4.07%, 59.2kB / 11.8kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.10%, 4.988MiB / 125MiB, 3.99%, 19.4kB / 10.4kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 97.43%, 9.863MiB / 3.871GiB, 0.25%, 2.99MB / 4.2MB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 16.43%, 9.184MiB / 3.871GiB, 0.23%, 4.22MB / 3.05MB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 2MiB / 50MiB, 4.00%, 8.05kB / 8.54kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.09%, 9.969MiB / 50MiB, 19.94%, 4.17kB / 1.48kB, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.37%, 20.36MiB / 500MiB, 4.07%, 59.2kB / 11.8kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.10%, 4.988MiB / 125MiB, 3.99%, 19.4kB / 10.4kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 97.43%, 9.863MiB / 3.871GiB, 0.25%, 2.99MB / 4.2MB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 18.36%, 9.191MiB / 3.871GiB, 0.23%, 4.29MB / 3.12MB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.04%, 2MiB / 50MiB, 4.00%, 8.15kB / 8.77kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.08%, 9.969MiB / 50MiB, 19.94%, 4.21kB / 1.52kB, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.00%, 20.36MiB / 500MiB, 4.07%, 59.2kB / 11.9kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.14%, 4.992MiB / 125MiB, 3.99%, 19.7kB / 10.5kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 103.30%, 9.863MiB / 3.871GiB, 0.25%, 3.05MB / 4.27MB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 18.36%, 9.191MiB / 3.871GiB, 0.23%, 4.29MB / 3.12MB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.04%, 2MiB / 50MiB, 4.00%, 8.15kB / 8.77kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.08%, 9.969MiB / 50MiB, 19.94%, 4.21kB / 1.52kB, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.00%, 20.36MiB / 500MiB, 4.07%, 59.2kB / 11.9kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.14%, 4.992MiB / 125MiB, 3.99%, 19.7kB / 10.5kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 103.30%, 9.863MiB / 3.871GiB, 0.25%, 3.05MB / 4.27MB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 14.40%, 9.191MiB / 3.871GiB, 0.23%, 4.37MB / 3.17MB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 2MiB / 50MiB, 4.00%, 8.15kB / 8.77kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.10%, 9.969MiB / 50MiB, 19.94%, 4.21kB / 1.52kB, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.01%, 20.36MiB / 500MiB, 4.07%, 59.2kB / 11.9kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.10%, 5MiB / 125MiB, 4.00%, 19.7kB / 10.5kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 99.32%, 9.863MiB / 3.871GiB, 0.25%, 3.11MB / 4.35MB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 14.40%, 9.191MiB / 3.871GiB, 0.23%, 4.37MB / 3.17MB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 2MiB / 50MiB, 4.00%, 8.15kB / 8.77kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.10%, 9.969MiB / 50MiB, 19.94%, 4.21kB / 1.52kB, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.01%, 20.36MiB / 500MiB, 4.07%, 59.2kB / 11.9kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.10%, 5MiB / 125MiB, 4.00%, 19.7kB / 10.5kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 99.32%, 9.863MiB / 3.871GiB, 0.25%, 3.11MB / 4.35MB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 16.48%, 9.191MiB / 3.871GiB, 0.23%, 4.44MB / 3.23MB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 2MiB / 50MiB, 4.00%, 8.15kB / 8.77kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.09%, 9.969MiB / 50MiB, 19.94%, 4.21kB / 1.52kB, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 1.14%, 20.36MiB / 500MiB, 4.07%, 59.2kB / 11.9kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.16%, 5.004MiB / 125MiB, 4.00%, 19.9kB / 10.6kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 106.42%, 9.867MiB / 3.871GiB, 0.25%, 3.16MB / 4.42MB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 16.48%, 9.191MiB / 3.871GiB, 0.23%, 4.44MB / 3.23MB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 2MiB / 50MiB, 4.00%, 8.15kB / 8.77kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.09%, 9.969MiB / 50MiB, 19.94%, 4.21kB / 1.52kB, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 1.14%, 20.36MiB / 500MiB, 4.07%, 59.2kB / 11.9kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.16%, 5.004MiB / 125MiB, 4.00%, 19.9kB / 10.6kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 106.42%, 9.867MiB / 3.871GiB, 0.25%, 3.16MB / 4.42MB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 18.13%, 9.199MiB / 3.871GiB, 0.23%, 4.53MB / 3.29MB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 2MiB / 50MiB, 4.00%, 8.15kB / 8.77kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.08%, 9.969MiB / 50MiB, 19.94%, 4.21kB / 1.52kB, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.01%, 20.36MiB / 500MiB, 4.07%, 59.2kB / 11.9kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.08%, 5.012MiB / 125MiB, 4.01%, 19.9kB / 10.6kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 103.76%, 9.871MiB / 3.871GiB, 0.25%, 3.22MB / 4.51MB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 18.13%, 9.199MiB / 3.871GiB, 0.23%, 4.53MB / 3.29MB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 2MiB / 50MiB, 4.00%, 8.15kB / 8.77kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.08%, 9.969MiB / 50MiB, 19.94%, 4.21kB / 1.52kB, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.01%, 20.36MiB / 500MiB, 4.07%, 59.2kB / 11.9kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.08%, 5.012MiB / 125MiB, 4.01%, 19.9kB / 10.6kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 103.76%, 9.871MiB / 3.871GiB, 0.25%, 3.22MB / 4.51MB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 17.92%, 9.203MiB / 3.871GiB, 0.23%, 4.61MB / 3.35MB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 2MiB / 50MiB, 4.00%, 8.15kB / 8.77kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.13%, 9.969MiB / 50MiB, 19.94%, 4.21kB / 1.52kB, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.37%, 20.37MiB / 500MiB, 4.07%, 61.4kB / 12.2kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.08%, 5.012MiB / 125MiB, 4.01%, 19.9kB / 10.6kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 106.03%, 9.871MiB / 3.871GiB, 0.25%, 3.28MB / 4.58MB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 17.92%, 9.203MiB / 3.871GiB, 0.23%, 4.61MB / 3.35MB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 2MiB / 50MiB, 4.00%, 8.15kB / 8.77kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.13%, 9.969MiB / 50MiB, 19.94%, 4.21kB / 1.52kB, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.37%, 20.37MiB / 500MiB, 4.07%, 61.4kB / 12.2kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.08%, 5.012MiB / 125MiB, 4.01%, 19.9kB / 10.6kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 106.03%, 9.871MiB / 3.871GiB, 0.25%, 3.28MB / 4.58MB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 17.61%, 9.211MiB / 3.871GiB, 0.23%, 4.68MB / 3.41MB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 2MiB / 50MiB, 4.00%, 8.15kB / 8.77kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.13%, 9.969MiB / 50MiB, 19.94%, 4.21kB / 1.52kB, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.37%, 20.37MiB / 500MiB, 4.07%, 61.4kB / 12.2kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.08%, 5.012MiB / 125MiB, 4.01%, 19.9kB / 10.6kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 106.03%, 9.871MiB / 3.871GiB, 0.25%, 3.28MB / 4.58MB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 17.61%, 9.211MiB / 3.871GiB, 0.23%, 4.68MB / 3.41MB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.03%, 2MiB / 50MiB, 4.00%, 8.26kB / 9kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.09%, 9.969MiB / 50MiB, 19.94%, 4.21kB / 1.52kB, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.01%, 20.37MiB / 500MiB, 4.07%, 61.4kB / 12.2kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.15%, 5.012MiB / 125MiB, 4.01%, 20.2kB / 10.7kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 104.12%, 9.871MiB / 3.871GiB, 0.25%, 3.34MB / 4.66MB, 4.66MB / 0B
